Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Bhangnamari police station,Nalbari,Assam,"686J+WG, Bhanganmari, Assam 781126",9957285211,,26.2122767121231,91.3313709914835
Sialmari Char Police Station,Nalbari,Assam,"59RJ+F86, Kurihamari, Assam 781126",9435288752,,26.1911268846240,91.3807117502283
Sadiya Police Station,Sadiya,Assam,"WQ78+HR8, Chapakhowa, Lakhimi Pathar, Assam 786157",6026901205,,27.9139281443295,95.7670831788478
Dholla Police Station,Sadiya,Assam,"QH2W+Q4G, Saikhoa Ghat, Assam 786154",6026901204,,27.7519040638973,95.5953307261280
Chengchap Police station,Sadiya,Assam,"RVX8+2FM, Unnamed Road, Adarsha Deori, Assam 786157",6026901206,,27.8475960255292,95.8661714302780
Saikhowaghat Police Station,Sadiya,Assam,"QMC6+VFF, Saikhowaghat khutipathar, Gulzar basti, Assam 786154",6026901208,,27.7721985300941,95.6611543466766
Sivasagar Police Station,Sivasagar,Assam,"Sibsagar Police Station, Sivasagar, Assam 785640",3772222923,9854030015,26.9823895782254,94.6266788654042
Gaurisagar Police Station,Sivasagar,Assam,"Gaurisagar, Phakum Kumar Phodia, Assam 785664",3772278317,9435245159,26.9471620326959,94.5359096039886
Halwating Police Station,Sivasagar,Assam,"QHG7+H5J, NH2, Baghjan Grant, Assam 785681",3772200116,9435038924,26.7764604629824,94.5628920858386
Gelakey Police Station,Sivasagar,Assam,"57 DSA, Gelakey, Assam 785696",3772250089,6000230078,26.8040570427826,94.6968414584000
Nazira police station,Sivasagar,Assam,"WP29+P22, Nazira, Assam 785685",3772252227,9957533160,26.9018160057668,94.7175842506953
Simaluguri Police Station,Sivasagar,Assam,"WPGW+CGJ, Borkola Gorh Gaon, Assam 785686",9678293067,7002604042,26.9260843769894,94.7462644842680
Demow Police Station,Sivasagar,Assam,"4PGR+874, Assam Trunk Rd, Demow, Assam 785662",9435033071,8638225150,27.1257704590661,94.7407135714333
Nemuguri Police Station,Sivasagar,Assam,"2QFM+735, Chutia Katani, Assam 785674",3772250834,9954390830,27.0231494337110,94.7827355946301
Namti Police Station,Sivasagar,Assam,"VMM3+3VC, Abhoipuria, Assam 785684",3772294642,8720995570,26.8827190774332,94.6546526999732
Bihubor Police Station,Sivasagar,Assam,"RRM3+9QQ, Owguri Jan, Assam 785687",3772229945,7399138808,26.8334885862933,94.8044831688880
Tezpur Sadar Thana,Sonitpur,Assam,"JQFW+7QX, Mahabhairab, Tezpur, Assam 784001",9365102627,9435713833,26.6232349105667,92.7969846467677
Rangapara Police Station,Sonitpur,Assam,"RMGP+7F9, Rangapara, No.1 Thakurbari T.E., Assam 784505",9365110082,9435030057,26.8256881541768,92.6862817050137
Missamari Police Station,Sonitpur,Assam,"QHWG+98M, Nij-Garubandha, Assam 784506",6001414593,8812008006,26.7959696417035,92.5757937368876
Dhekiajuli Police Station,Sonitpur,Assam,"PF3J+GJJ, Dhekiajuli, Assam 784110",9101253390,9435144488,26.7038504125726,92.4815238299321
Thelamara police station,Sonitpur,Assam,"MHW5+HC6, Thelamar Ruhinibill Rd, No.3 Ranga Gara Bil Gaon, Assam 784149",9101995434,,26.6964255845943,92.5584937184626
Chariduar Police Station,Sonitpur,Assam,"VQ4H+JMH, Chariduar, Dhekeri Gaon, Assam 784101",8638082934,8011636966,26.8565717780474,92.7792286656404
Mankachar Police Station,South Salmara,Assam,"GVP6+FR8, near J.M High Secondary school, Mankachar, Assam 783131",7002013663,,25.5361642774870,89.8621375992835
South Salmara Police Station,South Salmara,Assam,"Salmara Pt.II, Hatsingimari, Assam 783136",7002113809,,25.7239520025889,89.8999672812480
Fakirganj Police Station,South Salmara,Assam,"X33C+WM7, Sunderpara Pt.IV, Assam 783330",9365426201,,25.9548060459708,90.0717102145537
Sukchar Police station,South Salmara,Assam,"QW82+XPC, Sukchar to hazirhate Road, Assam 783128",9678894573,,25.7675070304943,89.9016717579423
 Tinsukia Police station,Tinsukia,Assam,"F9Q4+4PG, Tinsukia, Assam 786125",6026901080,,27.4878146329126,95.3568182044111
Doomdooma Police Station,Tinsukia,Assam,"HH94+28P, Doom Dooma, Assam 786151",6026901083,,27.5676111642166,95.5558365167372
Digboi Police Station,Tinsukia,Assam,"9JRF+34R, IOCL Rd, Digboi, Assam 786171",6026901088,,27.3902373927075,95.6227694510476
MARGHERITA POLICE STATION,Tinsukia,Assam,"Police Station, Thana Road, Margherita, Assam 786181",6026901091,,27.2896123994043,95.6661248695942
Lekhapani Police Station,Tinsukia,Assam,"8RMX+F46, NH 153, Tipong, Lekhapani Nadi Kash, Assam 786179",6026901092,,27.3336910952837,95.8477625053690
Makum Police Station,Tinsukia,Assam,"FCQV+CGF, Barekuri, Thana Road, Makum, Assam 786170",3742345557,6026901082,27.4920714959168,95.4426889527442
Kakopathar Police Station,Tinsukia,Assam,"JMM5+3PR, Kakopathar, Assam 786152",3759243527,6026901085,27.6327502174267,95.6592728197469
Pengeri Police Station,Tinsukia,Assam,"CQP3+Q9W, Pengeri Garh N.C., Assam 786174",6026901089,,27.4370060573688,95.7534511734887
Bordubi Police station,Tinsukia,Assam,"98X6+3QH, Tinsukia-Duliajan Rd, Bordubi, Assam 786601",6026901081,,27.3977049490116,95.3119754152494
Bordumsa Police Station,Tinsukia,Assam,"GV6F+P7M, Bordumsa, Assam 786174",6026901090,,27.5118437928241,95.8731701325042
Barekuri Police station,Tinsukia,Assam,"H97X+RQQ, Purani Motapung No-1, Purani Motapung No-4, Assam 786170",6026901096,,27.5645889031148,95.3994755500525
PHILLOBARI POLICE STATION,Tinsukia,Assam,"HP22+XH9, Borgaon, Phillobari, Assam 786160",6026901084,,27.5524156560678,95.7014694304596
Tongana Police Stations,Tinsukia,Assam,"JPFM+663, Tangana T.E. No-114 Wla., Assam 786152",6026901094,,27.6230342238562,95.7330254147070
Baghjan Police Stations,Tinsukia,Assam,"HCVM+7HM, PS, Baghjan T.E. 351/352, Diamuli T.E. 181 Wl., Assam 786147",9707471235,,27.5932220531777,95.4339313793392
Mazbat Police Station,Udalguri,Assam,"Q7XR+8FM, Mazbat, Assam 784507",3711246227,,26.7984028767702,92.2911680767469
Udalguri Police Station,Udalguri,Assam,"P3XW+PQP, Rowta-Udalguri Rd, Ram Janaki Chowk, Udalguri, Assam 784509",8822477298,,26.7493363343795,92.0969591307935
Paneri Police Station,Udalguri,Assam,"Post Office, Near, Tangla-Udalguri Rd, Paneri, Assam 784523",3711242285,,26.7298708818513,91.9137543347718
Khoirabari Police Station,Udalguri,Assam,"JR29+C77, Borbali Sitha, Assam 784522",3711224425,,26.6010274939244,91.8181680291827
Tangla Police Station,Udalguri,Assam,"MW47+3WH, Tangla Thana Rd, Tangla, Assam 784521",3711255488,,26.6552081821094,91.9147527278739
Kalaigaon Police Station,Udalguri,Assam,"HXGF+38P, MB Road, Kalaigaon, Kalaigaon Town, Assam 784525",9435478139,,26.5752302481650,91.9733184712883
Orang Police Station,Udalguri,Assam,"52, National Highway, near the junction, Orang, Assam 784114",8638566672,,26.6987877996007,92.3316429293397
Rowta Police Station,Udalguri,Assam,"P622+W42, Hatigarh, Rowta, Assam 784514",3711224425,,26.7022868435040,92.2002519431495
Harisinga Police Station,Udalguri,Assam,"PXHP+GHQ, Harisinga, Assam 784510",3711234201,,26.7288598001670,91.9864815465783
Dimakuchi Police Station,Udalguri,Assam,"PRVC+6G7, Dimakuchi, Assam 784526",9814870088,,26.7430560082476,91.8212826457840
